source,BAY_SEG,YEAR,TN_TONS,TP_TONS,h2oload10e6m3,tss_tons,bod_tons
NPS,4,2023,14.296584851,4.4642363301,17.23994187,374.03881014,87.201608785
NPS,5,2023,56.874572777,9.5538810974,29.517735711,1852.691016,332.94009891
NPS,6,2023,8.2577319059,1.6049708627,5.9031631179,200.39656622,40.256516182
NPS,7,2023,182.93503884,51.669148574,161.08121759,4568.7396307,1069.5307335
NPS,55,2023,8.675613768,1.4154111008,4.9910981344,271.88554645,51.399342564
NPS,1,2024,658.47212097,134.42208411,497.79211586,20599.106009,4074.8367305
NPS,2,2024,1432.0887998,467.81082037,981.94269265,36628.679725,7382.272078
NPS,3,2024,799.56454307,158.96339522,540.95479497,15128.68727,3300.5290094
NPS,4,2024,115.31857317,30.295971346,114.47762249,2541.4728073,590.71352797
NPS,5,2024,319.04024067,53.739764086,165.41517836,10388.579366,1866.143329
NPS,6,2024,60.23433075,11.929810002,42.686023001,1469.8092086,295.40542202
NPS,7,2024,1225.5409548,323.1775204,904.01619147,24642.230381,5871.5783033
NPS,55,2024,63.641252326,10.388963927,38.765763932,1930.2951825,368.6269161
SPR,2,2022,133.69996896,4.9274975796,68.909936578,311.41046037,
SPR,2,2023,123.32405609,5.2181330633,61.012278756,273.95273432,
SPR,2,2024,132.87306903,6.783057073,73.271278618,331.93715977,
GW,1,2022,6.5853687893,1.9569727687,60.180453875,,
GW,1,2023,6.5853687893,1.9569727687,60.180453875,,
GW,1,2024,6.5853687893,1.9569727687,60.180453875,,
GW,2,2022,20.726321832,2.4665196077,73.902808446,,
GW,2,2023,20.726321832,2.4665196077,73.902808446,,
GW,2,2024,20.726321832,2.4665196077,73.902808446,,
GW,3,2022,0.2863332405,1.6225409041,9.9954764127,,
GW,3,2023,0.2863332405,1.6225409041,9.9954764127,,
GW,3,2024,0.2863332405,1.6225409041,9.9954764127,,
GW,4,2022,0.1094894644,0.6227910015,3.8203549802,,
GW,4,2023,0.1094894644,0.6227910015,3.8203549802,,
GW,4,2024,0.1094894644,0.6227910015,3.8203549802,,
GW,5,2022,0.0015079614,0.0142462674,0.04756536,,
GW,5,2023,0.0015079614,0.0142462674,0.04756536,,
GW,5,2024,0.0015079614,0.0142462674,0.04756536,,
GW,6,2022,0.0189452874,0.1002820843,0.6552311444,,
GW,6,2023,0.0189452874,0.1002820843,0.6552311444,,
GW,6,2024,0.0189452874,0.1002820843,0.6552311444,,
GW,7,2022,0.1024940786,0.5092308335,3.5031130365,,
GW,7,2023,0.1024940786,0.5092308335,3.5031130365,,
GW,7,2024,0.1024940786,0.5092308335,3.5031130365,,
GW,55,2022,0.0035185767,0.0332412905,0.11098584,,
GW,55,2023,0.0035185767,0.0332412905,0.11098584,,
GW,55,2024,0.0035185767,0.0332412905,0.11098584,,
