bayseg,YEAR,MONTH,h2oload10e6m3
6,2024,5,0.254681939
6,2024,6,5.0286210585
6,2024,7,4.204105957
6,2024,8,39.01984915
6,2024,9,8.2238135639
6,2024,10,7.7785261756
6,2024,11,0.8894077011
6,2024,12,0.4056395689
7,2022,1,4.1562456833
7,2022,2,4.1149117686
7,2022,3,6.6739748917
7,2022,4,7.0592221154
7,2022,5,12.055855486
7,2022,6,28.922592745
7,2022,7,75.811602615
7,2022,8,61.162840725
7,2022,9,305.78334732
7,2022,10,36.951114223
7,2022,11,26.153358444
7,2022,12,12.035347768
7,2023,1,10.678239771
7,2023,2,5.1217782684
7,2023,3,3.8848879457
7,2023,4,7.4842517885
7,2023,5,18.370350599
7,2023,6,28.752893182
7,2023,7,20.344555642
7,2023,8,45.710808406
7,2023,9,48.190323532
7,2023,10,19.041877199
7,2023,11,5.1330425738
7,2023,12,11.307768715
7,2024,1,28.87803144
7,2024,2,34.696181047
7,2024,3,13.887357244
7,2024,4,5.2307431053
7,2024,5,3.5299552176
7,2024,6,28.640329763
7,2024,7,71.587817869
7,2024,8,553.69886699
7,2024,9,103.6078362
7,2024,10,135.30037342
7,2024,11,15.566160613
7,2024,12,4.7820134815
55,2022,1,1.5531006649
55,2022,2,1.3645537044
55,2022,3,3.2745403697
55,2022,4,7.3268890447
55,2022,5,6.2251261379
55,2022,6,10.681284527
55,2022,7,13.348130654
55,2022,8,10.010204873
55,2022,9,26.963434327
55,2022,10,1.2524283953
55,2022,11,5.8074951116
55,2022,12,3.8560007301
55,2023,1,2.3958873829
55,2023,2,0.5878246339
55,2023,3,0.3927179643
55,2023,4,1.9837238349
55,2023,5,8.3125287261
55,2023,6,10.233250751
55,2023,7,8.3237085982
55,2023,8,12.340301339
55,2023,9,7.4405633566
55,2023,10,1.302235608
55,2023,11,2.8600576521
55,2023,12,6.1404542696
55,2024,1,7.8770152073
55,2024,2,6.6194181263
55,2024,3,2.8834403537
55,2024,4,2.1372978862
55,2024,5,0.6395649509
55,2024,6,16.957359508
55,2024,7,12.42753508
55,2024,8,53.561572298
55,2024,9,19.364050613
55,2024,10,23.724827927
55,2024,11,1.4669331953
55,2024,12,1.5516789269
